gab's	gab	es
gibt's	gibt	es
geht's	geht	es
hab's	habe	es
wie's	wie	es
wenn's	wenn	es
ob's	ob	es
da's	da	es
mach's	mache	es
sag's	sage	es
sieht's	sieht	es
ich's	ich	es
auf'm	auf	dem
unterm	unter	dem
unter'm	unter	dem
hinter'm	hinter	dem
vor'm	vor	dem
am	an	dem
im	in	dem
ans	an	das
ins	in	das
zum	zu	dem
zur	zu	der
vom	von	dem
beim	bei	dem
fürs	für	das
durchs	durch	das
ums	um	das
aufs	auf	das
ist's	ist	es
sind's	sind	es
hat's	hat	es
tut's	tut	es
macht's	macht	es
kann's	kann	es
muss's	muss	es
will's	will	es
soll's	soll	es
so'n	so	ein
so'ne	so	eine
so'nen	so	einen
nen	einen
ne	eine
nem	einem
ners	einer
nix	nichts
net	nicht
ned	nicht
drin	darin
drauf	darauf
drüber	darüber
drunter	darunter
dran	daran
drum	darum
