isn't	is	not
aren't	are	not
wasn't	was	not
weren't	were	not
don't	do	not
doesn't	does	not
didn't	did	not
haven't	have	not
hasn't	has	not
hadn't	had	not
won't	will	not
wouldn't	would	not
can't	can	not
couldn't	could	not
shouldn't	should	not
mightn't	might	not
mustn't	must	not
cannot	can	not
I'm	I	am
you're	you	are
he's	he	is
she's	she	is
it's	it	is
we're	we	are
they're	they	are
I've	I	have
you've	you	have
we've	we	have
they've	they	have
I'll	I	will
you'll	you	will
he'll	he	will
she'll	she	will
we'll	we	will
they'll	they	will
I'd	I	would
you'd	you	would
he'd	he	would
she'd	she	would
we'd	we	would
they'd	they	would
let's	let	us
what's	what	is
that's	that	is
there's	there	is
who's	who	is
where's	where	is
how's	how	is
